time,latitude,longitude,speed,speed_limit,acceleration,heading,yaw_rate,steering_angle,jerk,traffic_condition,road_condition,road_type,time_of_day,sudden_brake,sudden_acceleration,sudden_stop,sudden_turn,tight_turn,speeding,anomaly_explanation
0,43.21804,76.92831,59.18,100,-3.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,
1,43.21777,76.92792,46.56,60,2.0,235.3,25.0,13.26,1.0,0,0,2,0,0,0,0,0,0,0,
2,43.21767,76.92776,71.29,100,-1.75,237.99,0.4,0.2,-1.0,1,1,0,2,0,0,0,0,0,0,
3,43.21752,76.92755,42.36,40,-3.0,234.46,1.49,0.85,-1.0,0,0,1,2,0,0,0,0,0,0,
4,43.21739,76.92742,21.26,40,-2.08,225.0,7.21,6.92,0.92,0,1,1,2,0,0,0,0,0,0,
5,43.21733,76.92737,37.38,40,2.0,219.81,2.45,1.55,1.0,0,1,1,1,0,0,0,0,0,0,
6,43.21722,76.92728,33.62,40,2.0,219.29,0.27,0.18,0.0,0,0,1,2,0,0,0,0,0,0,
7,43.21716,76.9272,85.76,100,-3.0,233.13,2.08,1.04,-1.0,0,0,0,1,0,0,0,0,0,0,
8,43.21697,76.92692,20.42,60,-3.0,235.84,2.77,2.73,0.0,1,1,2,0,0,0,0,0,0,0,
9,43.21681,76.92667,68.95,100,2.0,237.38,0.23,0.12,1.0,0,2,0,3,0,0,0,0,0,0,
10,43.2164,76.9261,36.09,40,-3.0,234.27,1.51,0.98,-1.0,0,0,1,1,0,0,0,0,0,0,
11,43.2164,76.9261,30.45,40,2.0,0.0,25.0,18.54,1.0,0,1,1,3,0,0,0,0,0,0,
12,43.21621,76.92579,86.3,100,2.0,238.5,25.0,12.5,0.0,0,0,0,2,0,0,0,0,0,0,
13,43.21587,76.92523,77.99,100,-3.0,238.74,0.04,0.02,-1.0,0,1,0,1,0,0,0,0,0,0,
14,43.2156,76.92476,40.91,60,-3.0,240.12,0.79,0.46,0.0,0,0,2,1,0,0,0,0,0,0,
15,43.21543,76.92451,57.51,100,-3.0,235.78,0.69,0.35,0.0,1,2,0,2,0,0,0,0,0,0,
16,43.21532,76.92434,19.66,40,-3.0,237.09,1.06,1.07,0.0,0,1,1,0,0,0,0,0,0,0,
17,43.21464,76.9234,22.49,100,0.8,234.12,1.08,1.0,1.0,1,3,0,0,0,0,0,0,0,0,
18,43.21306,76.92125,21.58,40,2.0,233.69,0.32,0.31,1.0,2,0,1,1,0,0,0,0,0,0,
19,43.21235,76.92025,65.81,100,2.0,234.63,0.14,0.07,0.0,0,1,0,3,0,0,0,0,0,0,
20,43.21203,76.91979,37.56,40,2.0,235.18,0.26,0.16,0.0,0,0,1,3,0,0,0,0,0,0,
21,43.21196,76.91969,71.96,100,2.0,235.01,0.03,0.01,0.0,0,1,0,3,0,0,0,0,0,0,
22,43.21134,76.91885,51.62,100,2.0,233.57,0.25,0.13,0.0,2,0,0,0,0,0,0,0,0,0,
23,43.21119,76.91864,91.07,100,-3.0,234.46,0.13,0.07,-1.0,0,0,0,2,0,0,0,0,0,0,
24,43.2105,76.9177,31.14,60,-3.0,233.72,0.53,0.39,0.0,2,1,2,3,0,0,0,0,0,0,
25,43.20984,76.91678,58.41,100,1.42,234.34,0.1,0.05,1.0,2,0,0,0,0,0,0,0,0,0,
26,43.20874,76.91528,34.54,40,-3.0,233.75,0.3,0.2,-1.0,1,0,1,1,0,0,0,0,0,0,
27,43.208,76.91428,27.64,40,-3.0,233.5,0.15,0.12,0.0,0,0,1,3,0,0,0,0,0,0,
28,43.20787,76.91415,20.31,40,1.02,225.0,6.72,6.65,1.0,1,1,1,1,0,0,0,0,0,0,
29,43.20769,76.914,30.08,40,2.0,219.81,2.96,2.22,0.98,0,0,1,3,0,0,0,0,0,0,
30,43.20742,76.91383,29.48,40,-2.5,212.2,4.41,3.35,-1.0,1,0,1,2,0,0,0,0,0,0,
31,43.20728,76.91377,24.08,40,0.67,203.2,6.19,5.45,1.0,2,0,1,1,0,0,0,0,0,0,
32,43.20728,76.91377,31.08,40,2.32,0.0,25.0,18.26,3.67,0,0,1,2,0,1,0,0,0,0,Sudden acceleration with acceleration 2.32 m/s² (above +2 threshold)
33,43.20678,76.91359,41.89,60,2.0,199.8,25.0,12.5,0.0,1,0,2,1,0,0,0,0,0,0,
34,43.20671,76.91354,41.47,60,-3.0,215.54,8.81,5.13,-1.0,0,2,2,2,0,0,0,0,0,0,
35,43.20666,76.91348,21.97,40,2.0,230.19,10.87,10.2,1.0,1,0,1,0,0,0,0,0,0,0,
36,43.20663,76.91341,79.81,100,2.0,246.8,2.49,1.25,0.0,0,0,0,3,0,0,0,0,0,0,
37,43.20661,76.91331,78.02,100,-2.22,258.69,1.78,0.89,-1.0,0,0,0,3,0,0,0,0,0,0,
38,43.20661,76.91323,74.5,100,-3.0,270.0,1.7,0.85,-0.78,0,1,0,1,0,0,0,0,0,0,
39,43.20669,76.91303,16.5,40,-3.0,291.8,20.28,22.96,0.0,1,1,1,3,0,0,0,0,0,0,
40,43.20669,76.91303,22.12,40,2.0,0.0,25.0,23.35,1.0,2,0,1,3,0,0,0,0,0,0,
