trip_id,trip_length,sudden_brake,sudden_acceleration,sudden_turn,tight_turn,speeding,sudden_stop,route_deviation,violation_score,trip_rating
1,19.0,0,0,0,1,0,0,0,6,9.7
2,8.2,0,0,1,0,1,1,0,14,8.3
3,1.5,1,1,1,1,1,1,0,29,1.0
4,9.6,1,1,1,0,1,0,0,18,8.1
5,30.8,1,1,1,1,1,0,0,24,9.2
6,39.4,2,2,0,2,0,2,0,40,9.0
7,22.8,1,1,0,1,1,1,0,26,8.9
8,1.3,1,1,1,0,1,0,0,18,1.0
9,41.7,2,1,0,1,1,1,0,31,9.3
10,27.6,1,0,0,1,1,1,0,22,9.2
11,44.8,1,2,2,1,2,0,0,37,9.2
12,42.3,0,1,2,0,1,0,0,16,9.6
13,27.4,0,0,0,0,0,0,0,0,10.0
14,38.7,2,2,2,0,2,2,0,46,8.8
15,4.2,0,1,0,1,0,0,0,10,7.7
16,16.9,1,0,0,1,1,0,0,17,9.0
17,32.1,0,0,0,0,0,0,0,0,10.0
18,38.2,1,2,2,1,2,2,0,47,8.8
19,21.7,1,1,0,0,0,1,0,14,9.4
20,16.1,1,1,1,0,0,0,0,12,9.3
21,37.9,0,2,2,2,1,1,0,37,9.0
22,15.1,0,1,1,1,1,1,0,24,8.4
23,44.2,1,2,0,2,1,0,0,31,9.3
24,32.6,0,1,0,0,0,0,0,4,9.9
25,26.9,1,0,0,0,1,1,0,16,9.4
26,8.8,1,1,1,0,1,0,1,25,7.2
27,48.1,1,2,1,2,0,0,0,28,9.4
28,2.3,0,1,1,1,1,0,0,19,2.3
29,45.5,2,1,1,0,1,1,0,28,9.4
30,33.8,0,1,0,0,0,1,0,9,9.7
31,31.8,1,1,0,0,1,1,0,20,9.4
32,16.4,1,1,0,0,1,1,0,20,8.8
33,1.3,0,0,0,1,1,0,0,12,1.8
34,34.7,1,0,1,1,0,0,0,14,9.6
35,6.1,0,0,1,1,0,0,0,9,8.6
36,41.0,0,0,1,0,1,0,0,9,9.8
37,31.8,0,0,0,0,1,1,0,11,9.7
38,44.4,0,2,0,1,1,2,0,30,9.3
